id;first_name;last_name;gender;email;phone;address_line_1;address_line_2;city;country;user_id
1;Maynard;Jacobson;OTHER;"[o|?Z@z{y.1a%";026.954.0023 x96261;Berkshire Designer;Credit Card Account;Lake Friedrichberg;Dominican Republic;2
2;Prudence;Hilll;FEMALE;"?@sU"".R6";1-160-853-6207 x582;deposit Sausages;disintermediate Cambridgeshire hacking;Evanchester;Botswana;1
3;Thurman;Lindgren;OTHER;"(y@*#X=^.kLT>Y";098.598.6132 x37788;AI optical invoice;Marketing;Treutelfurt;Mozambique;2
4;Adelbert;Hilpert;OTHER;")G<2@[qxE#.DP]Pl";(646) 921-7024 x317;payment calculating;local area network Benin;Fredyfurt;Eritrea;1
5;Dee;McKenzie;FEMALE;"1)1~o@Y$Nr.(0sA";(481) 274-2507 x6019;Villages uniform PCI;Automotive Tactics architectures;Marquardtshire;Wallis and Futuna;2
6;Arch;Greenholt;OTHER;".s@?Y=.2";398.695.0026 x693;Open-architected;FTP;Rosettachester;Burkina Faso;2
7;Melody;Herzog;OTHER;"g@?)&O.).kIek?/";567-160-7370;FTP Tools California;North Dakota Garden;East Karen;Wallis and Futuna;1
8;Rogelio;McLaughlin;MALE;"CA:}@<.71IX=-";640.801.5456 x61719;Buckinghamshire alliance redundant;content;Aricberg;Anguilla;1
9;Vince;Bode;FEMALE;"zSLwU@""p.""at";692.695.7654;system Gorgeous Rubber Pants;hack;West Bettyeton;Aruba;1
10;Alize;Hagenes;OTHER;"a='@V(.yM[xVL";(463) 069-6802 x306;Borders EXE payment;Checking Account;Nitzscheside;Anguilla;2
